Time(s)    Height(m)    Speed(m/s)    Mass(kg)
172.8    152845    2936.02    117000
172.9    153139    2941.49    116750
173    153433    2946.98    116500
173.1    153727    2952.48    116250
173.2    154023    2958    116000
173.3    154318    2963.53    115750
173.4    154615    2969.08    115500
173.5    154912    2974.63    115250
173.6    155209    2980.21    115000
173.7    155507    2985.79    114750
173.8    155806    2991.39    114500
173.9    156105    2997.01    114250
174    156405    3002.64    114000
174.1    156705    3008.28    113750
174.2    157006    3013.94    113500
174.3    157307    3019.62    113250
174.4    157609    3025.3    113000
174.5    157912    3031.01    112750
174.6    158215    3036.73    112500
174.7    158518    3042.46    112250
174.8    158823    3048.21    112000
174.9    159127    3053.97    111750
175    159433    3059.75    111500
175.1    159739    3065.54    111250
175.2    160045    3071.35    111000
175.3    160353    3077.17    110750
175.4    160660    3083.01    110500
175.5    160969    3088.86    110250
175.6    161277    3094.73    110000
175.7    161587    3100.62    109750
175.8    161897    3106.52    109500
175.9    162208    3112.43    109250
176    162519    3118.37    109000
176.1    162831    3124.31    108750
176.2    163143    3130.28    108500
176.3    163456    3136.26    108250
176.4    163770    3142.25    108000
176.5    164084    3148.27    107750
176.6    164399    3154.29    107500
176.7    164714    3160.34    107250
176.8    165030    3166.4    107000
176.9    165347    3172.48    106750
177    165664    3178.57    106500
177.1    165982    3184.68    106250
177.2    166301    3190.81    106000
177.3    166620    3196.95    105750
177.4    166939    3203.11    105500
177.5    167260    3209.29    105250
177.6    167581    3215.48    105000
177.7    167902    3221.7    104750
177.8    168224    3227.92    104500
177.9    168547    3234.17    104250
178    168870    3240.43    104000
178.1    169194    3246.71    103750
178.2    169519    3253.01    103500
178.3    169844    3259.33    103250
178.4    170170    3265.66    103000
178.5    170497    3272.01    102750
178.6    170824    3278.38    102500
178.7    171152    3284.77    102250
178.8    171480    3291.17    102000
178.9    171810    3297.59    101750
179    172139    3304.03    101500
179.1    172470    3310.49    101250
179.2    172801    3316.97    101000
179.3    173133    3323.47    100750
179.4    173465    3329.98    100500
179.5    173798    3336.51    100250
179.6    174132    3343.07    100000
179.7    174466    3349.64    99750
179.8    174801    3356.23    99500
179.9    175136    3362.83    99250
180    175473    3369.46    99000
180.1    175810    3376.11    98750
180.2    176147    3382.77    98500
180.3    176486    3389.46    98250
180.4    176824    3396.16    98000
180.5    177164    3402.89    97750
180.6    177504    3409.63    97500
180.7    177845    3416.4    97250
180.8    178187    3423.18    97000
180.9    178529    3429.98    96750
181    178872    3436.81    96500
181.1    179216    3443.65    96250
181.2    179560    3450.52    96000
181.3    179905    3457.4    95750
181.4    180251    3464.31    95500
181.5    180598    3471.23    95250
181.6    180945    3478.18    95000
181.7    181292    3485.14    94750
181.8    181641    3492.13    94500
181.9    181990    3499.14    94250
182    182340    3506.17    94000
182.1    182691    3513.22    93750
182.2    183042    3520.3    93500
182.3    183394    3527.39    93250
182.4    183747    3534.51    93000
182.5    184100    3541.64    92750
182.6    184454    3548.8    92500
182.7    184809    3555.99    92250
182.8    185165    3563.19    92000
182.9    185521    3570.41    91750
183    185878    3577.66    91500
183.1    186236    3584.93    91250
183.2    186595    3592.23    91000
183.3    186954    3599.54    90750
183.4    187314    3606.88    90500
183.5    187674    3614.24    90250
183.6    188036    3621.63    90000
183.7    188398    3629.04    89750
183.8    188761    3636.47    89500
183.9    189125    3643.92    89250
184    189489    3651.4    89000
184.1    189854    3658.9    88750
184.2    190220    3666.43    88500
184.3    190587    3673.98    88250
184.4    190954    3681.55    88000
184.5    191322    3689.15    87750
184.6    191691    3696.77    87500
184.7    192061    3704.42    87250
184.8    192431    3712.09    87000
184.9    192802    3719.78    86750
185    193174    3727.51    86500
185.1    193547    3735.25    86250
185.2    193921    3743.02    86000
185.3    194295    3750.82    85750
185.4    194670    3758.64    85500
185.5    195046    3766.49    85250
185.6    195423    3774.37    85000
185.7    195800    3782.27    84750
185.8    196178    3790.19    84500
185.9    196557    3798.14    84250
186    196937    3806.12    84000
186.1    197318    3814.13    83750
186.2    197699    3822.16    83500
186.3    198081    3830.22    83250
186.4    198464    3838.31    83000
186.5    198848    3846.42    82750
186.6    199233    3854.56    82500
186.7    199618    3862.73    82250
186.8    200005    3870.93    82000
186.9    200392    3879.15    81750
187    200780    3887.4    81500
187.1    201168    3895.68    81250
187.2    201558    3903.99    81000
187.3    201948    3912.33    80750
187.4    202339    3920.7    80500
187.5    202732    3929.09    80250
187.6    203124    3937.52    80000
187.7    203518    3945.97    79750
187.8    203913    3954.45    79500
187.9    204308    3962.97    79250
188    204705    3971.51    79000
188.1    205102    3980.08    78750
188.2    205500    3988.68    78500
188.3    205899    3997.32    78250
188.4    206298    4005.98    78000
188.5    206699    4014.68    77750
188.6    207100    4023.4    77500
188.7    207503    4032.16    77250
188.8    207906    4040.95    77000
188.9    208310    4049.77    76750
189    208715    4058.62    76500
189.1    209121    4067.5    76250
189.2    209528    4076.42    76000
189.3    209935    4085.37    75750
189.4    210344    4094.35    75500
189.5    210753    4103.37    75250
189.6    211164    4112.41    75000
189.7    211575    4121.49    74750
189.8    211987    4130.61    74500
189.9    212400    4139.76    74250
190    212814    4148.94    74000
190.1    213229    4158.16    73750
190.2    213645    4167.41    73500
190.3    214061    4176.69    73250
190.4    214479    4186.01    73000
190.5    214898    4195.37    72750
190.6    215317    4204.76    72500
190.7    215738    4214.19    72250
190.8    216159    4223.65    72000
190.9    216582    4233.15    71750
191    217005    4242.68    71500
191.1    217429    4252.26    71250
191.2    217854    4261.87    71000
191.3    218281    4271.51    70750
191.4    218708    4281.2    70500
191.5    219136    4290.92    70250
191.6    219565    4300.68    70000
191.7    219995    4310.47    69750
191.8    220426    4320.31    69500
191.9    220858    4330.18    69250
192    221291    4340.1    69000
192.1    221725    4350.05    68750
192.2    222160    4360.05    68500
192.3    222596    4370.08    68250
192.4    223033    4380.15    68000
192.5    223471    4390.26    67750
192.6    223910    4400.42    67500
192.7    224350    4410.61    67250
192.8    224791    4420.85    67000
192.9    225233    4431.13    66750
193    225676    4441.45    66500
193.1    226121    4451.81    66250
193.2    226566    4462.22    66000
193.3    227012    4472.67    65750
193.4    227459    4483.16    65500
193.5    227908    4493.7    65250
193.6    228357    4504.28    65000
193.7    228807    4514.9    64750
193.8    229259    4525.57    64500
193.9    229711    4536.28    64250
194    230165    4547.04    64000
194.1    230620    4557.85    63750
194.2    231076    4568.7    63500
194.3    231532    4579.6    63250
194.4    231990    4590.54    63000
194.5    232449    4601.53    62750
194.6    232910    4612.57    62500
194.7    233371    4623.66    62250
194.8    233833    4634.79    62000
194.9    234297    4645.98    61750
195    234761    4657.21    61500
195.1    235227    4668.49    61250
195.2    235694    4679.83    61000
195.3    236162    4691.21    60750
195.4    236631    4702.64    60500
195.5    237101    4714.13    60250
195.6    237573    4725.66    60000
195.7    238045    4737.25    59750
195.8    238519    4748.89    59500
195.9    238994    4760.59    59250
196    239470    4772.33    59000
196.1    239947    4784.13    58750
196.2    240425    4795.99    58500
196.3    240905    4807.9    58250
196.4    241386    4819.86    58000
196.5    241868    4831.88    57750
196.6    242351    4843.96    57500
196.7    242835    4856.09    57250
196.8    243321    4868.28    57000
196.9    243808    4880.53    56750
197    244296    4892.84    56500
197.1    244785    4905.2    56250
197.2    245276    4917.62    56000
197.3    245767    4930.11    55750
197.4    246261    4942.65    55500
197.5    246755    4955.26    55250
197.6    247250    4967.92    55000
197.7    247747    4980.65    54750
197.8    248245    4993.44    54500
197.9    248744    5006.29    54250
198    249245    5019.21    54000
198.1    249747    5032.19    53750
198.2    250250    5045.23    53500
198.3    250755    5058.34    53250
198.4    251261    5071.52    53000
198.5    251768    5084.76    52750
198.6    252276    5098.07    52500
198.7    252786    5111.45    52250
198.8    253297    5124.9    52000
198.9    253810    5138.41    51750
199    254324    5152    51500
199.1    254839    5165.65    51250
199.2    255355    5179.38    51000
199.3    255873    5193.18    50750
199.4    256393    5207.05    50500
199.5    256913    5221    50250
199.6    257435    5235.02    50000
199.7    257959    5249.11    49750
199.8    258484    5263.28    49500
199.9    259010    5277.52    49250
200    259538    5291.85    49000
200.1    260067    5306.25    48750
200.2    260598    5320.73    48500
200.3    261130    5335.28    48250
200.4    261663    5349.92    48000
200.5    262198    5364.64    47750
200.6    262735    5379.44    47500
200.7    263273    5394.33    47250
200.8    263812    5409.3    47000
200.9    264353    5424.35    46750
201    264895    5439.49    46500
201.1    265439    5454.71    46250
201.2    265985    5470.03    46000
201.3    266532    5485.43    45750
201.4    267080    5500.92    45500
201.5    267631    5516.5    45250
201.6    268182    5532.17    45000
201.7    268735    5547.93    44750
201.8    269290    5563.79    44500
201.9    269847    5579.74    44250
202    270405    5595.78    44000
202.1    270964    5611.93    43750
202.2    271525    5628.17    43500
202.3    272088    5644.51    43250
202.4    272653    5660.94    43000
202.5    273219    5677.48    42750
202.6    273786    5694.13    42500
202.7    274356    5710.87    42250
202.8    274927    5727.72    42000
202.9    275500    5744.68    41750
203    276074    5761.74    41500
203.1    276650    5778.91    41250
203.2    277228    5796.19    41000
203.3    277808    5813.58    40750
203.4    278389    5831.09    40500
203.5    278972    5848.71    40250
203.6    279557    5866.44    40000
203.7    280144    5884.29    39750
203.8    280732    5902.26    39500
203.9    281322    5920.34    39250
204    281915    5938.55    39000
204.1    282508    5956.88    38750
204.2    283104    5975.34    38500
204.3    283702    5993.92    38250
204.4    284301    6012.63    38000
204.5    284902    6031.47    37750
204.6    285505    6050.44    37500
204.7    286110    6069.54    37250
204.8    286717    6088.77    37000
204.9    287326    6108.14    36750
205    287937    6127.65    36500
205.1    288550    6147.3    36250
205.2    289165    6167.1    36000
205.3    289781    6187.03    35750
205.4    290400    6207.11    35500
205.5    291021    6227.34    35250
205.6    291643    6247.72    35000
205.7    292268    6268.25    34750
205.8    292895    6288.94    34500
205.9    293524    6309.78    34250
206    294155    6330.78    34000
206.1    294788    6351.95    33750
206.2    295423    6373.27    33500
206.3    296060    6394.76    33250
206.4    296700    6416.42    33000
206.5    297342    6438.26    32750
206.6    297985    6460.26    32500
206.7    298631    6482.44    32250
206.8    299280    6504.8    32000
206.9    299930    6527.35    31750
207    300583    6550.07    31500
207.1    301238    6572.99    31250
207.2    301895    6596.09    31000
207.3    302555    6619.39    30750
207.4    303217    6642.89    30500
207.5    303881    6666.59    30250
207.6    304548    6690.49    30000
207.7    305217    6714.59    29750
207.8    305888    6738.91    29500
207.9    306562    6763.44    29250
208    307238    6788.19    29000
208.1    307917    6813.16    28750
208.2    308599    6838.35    28500
208.3    309282    6863.77    28250
208.4    309969    6889.43    28000
208.5    310658    6915.32    27750
208.6    311349    6941.46    27500
208.7    312043    6967.84    27250
208.8    312740    6994.47    27000
208.9    313440    7021.36    26750
209    314142    7048.5    26500
209.1    314847    7075.92    26250
209.2    315554    7103.6    26000
209.3    316265    7131.55    25750
209.4    316978    7159.79    25500
209.5    317694    7188.31    25250
209.6    318413    7217.12    25000
